installment,grade,home_ownership,loan_status
533.08,D,RENT,Charged Off
536.81,D,RENT,Charged Off
253.06,C,MORTGAGE,Fully Paid
1140.07,B,MORTGAGE,Fully Paid
293.16,B,MORTGAGE,Fully Paid
537.87,C,MORTGAGE,Fully Paid
536.72,B,RENT,Charged Off
452.86,B,RENT,Fully Paid
805.08,B,RENT,Fully Paid
390.88,B,RENT,Fully Paid
207.73,D,RENT,Fully Paid
704.64,D,MORTGAGE,Fully Paid
429.86,A,RENT,Fully Paid
411.71,C,MORTGAGE,Charged Off
826.9,B,MORTGAGE,Fully Paid
301.91,B,RENT,Fully Paid
431.6,B,RENT,Fully Paid
678.61,C,RENT,Fully Paid
103.49,C,RENT,Fully Paid
239.42,B,MORTGAGE,Fully Paid
400.18,C,RENT,Fully Paid
456.12,B,MORTGAGE,Charged Off
370.66,D,RENT,Charged Off
386.7,B,RENT,Fully Paid
190.52,A,RENT,Fully Paid
400.18,C,MORTGAGE,Fully Paid
233.91,B,MORTGAGE,Fully Paid
786.51,E,MORTGAGE,Fully Paid
69.6,C,RENT,Fully Paid
394.45,C,MORTGAGE,Fully Paid
517.21,C,RENT,Charged Off
184.43,C,RENT,Fully Paid
251.77,A,RENT,Fully Paid
400.99,B,MORTGAGE,Fully Paid
296.78,C,MORTGAGE,Fully Paid
294.98,D,MORTGAGE,Fully Paid
399.97,D,RENT,Fully Paid
400.99,B,RENT,Fully Paid
318.68,B,MORTGAGE,Charged Off
251.09,C,OWN,Fully Paid
488.6,C,MORTGAGE,Fully Paid
519.76,G,MORTGAGE,Fully Paid
225.29,A,RENT,Charged Off
642.96,D,MORTGAGE,Charged Off
154.69,B,MORTGAGE,Charged Off
124.45,A,RENT,Fully Paid
53.69,D,MORTGAGE,Fully Paid
654.94,B,RENT,Fully Paid
82.69,B,MORTGAGE,Fully Paid
335.45,B,RENT,Charged Off
307.04,A,RENT,Fully Paid
141.18,B,MORTGAGE,Fully Paid
109.52,A,MORTGAGE,Fully Paid
368.45,A,MORTGAGE,Fully Paid
523.93,A,RENT,Fully Paid
603.5,F,RENT,Fully Paid
413.94,C,RENT,Fully Paid
352.48,B,RENT,Charged Off
360.89,B,RENT,Fully Paid
467.82,B,MORTGAGE,Fully Paid
473.75,D,MORTGAGE,Fully Paid
203.59,C,MORTGAGE,Fully Paid
386.7,B,RENT,Fully Paid
334.16,B,RENT,Fully Paid
250.33,A,RENT,Fully Paid
455.18,B,RENT,Fully Paid
469.63,B,RENT,Fully Paid
224.36,D,RENT,Fully Paid
146.69,E,MORTGAGE,Fully Paid
134.18,B,RENT,Charged Off
319.58,A,MORTGAGE,Fully Paid
172.1,A,OWN,Fully Paid
243.11,B,RENT,Fully Paid
334.16,B,RENT,Charged Off
373.33,A,RENT,Fully Paid
110.5,B,MORTGAGE,Fully Paid
176.79,B,OWN,Fully Paid
142.89,A,MORTGAGE,Fully Paid
601.48,B,OWN,Fully Paid
282.96,C,MORTGAGE,Fully Paid
407.17,C,RENT,Fully Paid
339.31,C,MORTGAGE,Fully Paid
187.75,A,MORTGAGE,Fully Paid
402.54,B,RENT,Fully Paid
381.04,A,RENT,Charged Off
231.54,B,RENT,Fully Paid
690.56,E,MORTGAGE,Fully Paid
43.81,A,RENT,Fully Paid
368.08,C,RENT,Charged Off
103.12,B,RENT,Fully Paid
250.33,A,RENT,Fully Paid
268.32,B,RENT,Charged Off
152.18,A,MORTGAGE,Fully Paid
55.27,A,RENT,Fully Paid
1111.37,A,RENT,Fully Paid
571.56,A,RENT,Fully Paid
438.07,A,OWN,Charged Off
167.08,B,RENT,Fully Paid
281.1,C,RENT,Fully Paid
304.36,A,MORTGAGE,Fully Paid
311.11,A,RENT,Fully Paid
400.99,B,MORTGAGE,Fully Paid
725.94,A,MORTGAGE,Fully Paid
430.78,C,MORTGAGE,Fully Paid
167.03,C,MORTGAGE,Fully Paid
241.46,B,RENT,Fully Paid
335.14,B,RENT,Fully Paid
212.69,B,MORTGAGE,Fully Paid
381.04,A,OWN,Fully Paid
474.19,D,RENT,Fully Paid
396.92,B,RENT,Fully Paid
805.63,B,RENT,Fully Paid
195.44,B,RENT,Fully Paid
373.33,A,MORTGAGE,Fully Paid
476.3,B,RENT,Fully Paid
334.16,B,RENT,Fully Paid
264.61,B,RENT,Fully Paid
282.41,D,RENT,Charged Off
673.72,B,RENT,Charged Off
445.13,D,OWN,Charged Off
438.26,B,OWN,Fully Paid
480.33,C,RENT,Fully Paid
533.23,E,OWN,Charged Off
353.01,D,RENT,Fully Paid
619.88,E,RENT,Fully Paid
121.75,A,RENT,Fully Paid
418.93,B,RENT,Fully Paid
939.26,B,RENT,Fully Paid
339.31,C,RENT,Fully Paid
625.81,A,RENT,Fully Paid
580.05,B,RENT,Fully Paid
238,E,RENT,Charged Off
643.58,E,RENT,Charged Off
330.76,B,RENT,Fully Paid
127.83,A,RENT,Fully Paid
478.64,C,OWN,Charged Off
449.97,D,MORTGAGE,Charged Off
847.21,D,RENT,Fully Paid
155.72,C,RENT,Fully Paid
472.14,C,MORTGAGE,Fully Paid
400.99,B,RENT,Fully Paid
452.98,D,MORTGAGE,Fully Paid
167.08,B,RENT,Charged Off
91.31,A,RENT,Fully Paid
648.93,E,RENT,Fully Paid
467.23,E,RENT,Fully Paid
386.7,B,RENT,Charged Off
695.96,C,MORTGAGE,Fully Paid
339.31,C,RENT,Fully Paid
501.23,B,OWN,Fully Paid
375.49,A,MORTGAGE,Fully Paid
290.64,B,MORTGAGE,Fully Paid
208.38,B,RENT,Fully Paid
494.59,D,RENT,Fully Paid
578.71,D,MORTGAGE,Fully Paid
200.45,C,MORTGAGE,Fully Paid
451.9,B,OWN,Fully Paid
330.76,B,RENT,Charged Off
762.08,A,MORTGAGE,Charged Off
483.05,B,MORTGAGE,Fully Paid
206.97,C,RENT,Fully Paid
773.03,C,MORTGAGE,Fully Paid
396.92,B,RENT,Charged Off
568.62,D,MORTGAGE,Fully Paid
325.74,B,MORTGAGE,Fully Paid
301.76,E,MORTGAGE,Fully Paid
335.45,B,RENT,Charged Off
118.76,C,RENT,Fully Paid
309.36,B,RENT,Fully Paid
309,A,MORTGAGE,Fully Paid
427.19,D,OWN,Fully Paid
150.2,A,RENT,Fully Paid
237.4,A,OWN,Fully Paid
686.18,C,MORTGAGE,Fully Paid
303.34,A,RENT,Charged Off
365.67,C,MORTGAGE,Fully Paid
152.18,A,MORTGAGE,Fully Paid
310.45,C,RENT,Fully Paid
225.29,A,RENT,Fully Paid
77.88,E,RENT,Charged Off
654.31,E,RENT,Charged Off
869.95,C,OWN,Fully Paid
351.38,C,RENT,Fully Paid
297.72,B,MORTGAGE,Charged Off
514.34,B,RENT,Fully Paid
406.85,C,RENT,Fully Paid
251.59,B,RENT,Fully Paid
281.81,A,OWN,Fully Paid
161.05,D,RENT,Fully Paid
193.81,B,RENT,Fully Paid
330.76,B,RENT,Fully Paid
322.25,B,RENT,Fully Paid
463.07,B,RENT,Fully Paid
648.93,E,MORTGAGE,Fully Paid
381.04,A,RENT,Charged Off
750.97,A,OWN,Fully Paid
480.33,C,RENT,Fully Paid
381.04,A,MORTGAGE,Fully Paid
338.93,B,OWN,Charged Off
270.04,B,RENT,Charged Off
182.42,B,RENT,Fully Paid
241.69,B,RENT,Fully Paid
231.54,B,RENT,Fully Paid
168.97,A,RENT,Fully Paid
534.65,B,RENT,Fully Paid
619.26,B,MORTGAGE,Fully Paid
121.38,A,RENT,Charged Off
93.21,B,MORTGAGE,Fully Paid
345.95,D,RENT,Fully Paid
400.82,D,MORTGAGE,Fully Paid
153.52,A,RENT,Fully Paid
327.46,B,RENT,Fully Paid
132.31,B,RENT,Fully Paid
496.14,B,MORTGAGE,Fully Paid
219.61,C,RENT,Fully Paid
225.93,D,RENT,Fully Paid
203.6,C,MORTGAGE,Fully Paid
417.58,C,MORTGAGE,Fully Paid
476.3,A,MORTGAGE,Fully Paid
223.01,C,MORTGAGE,Fully Paid
281.1,C,RENT,Fully Paid
539.47,F,MORTGAGE,Fully Paid
517.42,C,MORTGAGE,Fully Paid
349.96,C,RENT,Fully Paid
300.74,B,MORTGAGE,Fully Paid
229.46,D,MORTGAGE,Fully Paid
625.86,F,MORTGAGE,Fully Paid
62.59,A,RENT,Fully Paid
271.45,C,OWN,Fully Paid
276.11,A,RENT,Fully Paid
54.72,E,RENT,Charged Off
267.33,B,RENT,Fully Paid
399.55,C,RENT,Charged Off
215,B,RENT,Fully Paid
325.74,C,MORTGAGE,Fully Paid
372.25,B,MORTGAGE,Fully Paid
312.91,A,MORTGAGE,Fully Paid
501.23,B,MORTGAGE,Fully Paid
276.34,A,MORTGAGE,Fully Paid
312.91,A,RENT,Fully Paid
34.5,C,RENT,Charged Off
438.07,A,RENT,Fully Paid
291.63,C,RENT,Charged Off
389.36,E,RENT,Fully Paid
158.12,C,MORTGAGE,Fully Paid
93.34,A,MORTGAGE,Fully Paid
322.25,B,MORTGAGE,Fully Paid
525.5,D,MORTGAGE,Fully Paid
475.63,C,MORTGAGE,Charged Off
916.03,E,RENT,Fully Paid
250.55,C,RENT,Fully Paid
397.77,B,RENT,Charged Off
719.68,A,MORTGAGE,Fully Paid
494.59,D,RENT,Charged Off
151,D,RENT,Fully Paid
222.28,A,RENT,Fully Paid
704.45,B,MORTGAGE,Fully Paid
256.67,A,MORTGAGE,Fully Paid
418.93,B,RENT,Fully Paid
552.67,A,MORTGAGE,Fully Paid
219.14,A,MORTGAGE,Fully Paid
523.93,A,RENT,Fully Paid
254.24,A,RENT,Fully Paid
584.89,A,MORTGAGE,Fully Paid
982.79,E,MORTGAGE,Fully Paid
600.78,A,MORTGAGE,Fully Paid
213.28,D,RENT,Fully Paid
133.67,B,MORTGAGE,Fully Paid
141.21,D,RENT,Fully Paid
386.7,B,OWN,Fully Paid
86.83,B,MORTGAGE,Fully Paid
414.09,C,MORTGAGE,Fully Paid
225.58,B,RENT,Fully Paid
379.06,B,MORTGAGE,Fully Paid
128.9,B,MORTGAGE,Fully Paid
243.49,A,MORTGAGE,Fully Paid
522.41,D,RENT,Charged Off
146.2,B,OWN,Fully Paid
127.56,A,MORTGAGE,Fully Paid
190.52,A,RENT,Fully Paid
105,D,RENT,Charged Off
122.82,A,MORTGAGE,Fully Paid
97.72,B,MORTGAGE,Charged Off
181.15,B,MORTGAGE,Fully Paid
529.51,D,RENT,Charged Off
514.86,E,MORTGAGE,Fully Paid
348.87,B,RENT,Fully Paid
113.25,D,MORTGAGE,Fully Paid
384.28,B,RENT,Fully Paid
307.04,A,RENT,Fully Paid
309.42,C,MORTGAGE,Fully Paid
114.32,A,RENT,Fully Paid
292.81,B,RENT,Fully Paid
428.9,D,MORTGAGE,Fully Paid
357.88,D,RENT,Charged Off
544.17,D,MORTGAGE,Fully Paid
264.61,B,RENT,Fully Paid
443.89,D,RENT,Fully Paid
500.65,A,RENT,Charged Off
260.59,B,RENT,Fully Paid
224,A,MORTGAGE,Fully Paid
373.33,A,RENT,Fully Paid
76.56,C,OWN,Charged Off
451.9,B,RENT,Fully Paid
628.81,B,MORTGAGE,Fully Paid
186.67,A,MORTGAGE,Fully Paid
654.31,E,RENT,Charged Off
165.68,A,RENT,Charged Off
501.09,C,RENT,Fully Paid
355.62,E,RENT,Fully Paid
467,C,MORTGAGE,Fully Paid
446.14,A,MORTGAGE,Fully Paid
203.59,C,OWN,Fully Paid
355.79,B,MORTGAGE,Fully Paid
619.88,E,OWN,Charged Off
329.33,A,RENT,Fully Paid
252.99,C,RENT,Fully Paid
340.24,B,OWN,Fully Paid
407.17,C,MORTGAGE,Fully Paid
396.92,B,MORTGAGE,Fully Paid
99.23,B,RENT,Fully Paid
335.36,D,RENT,Fully Paid
660.79,B,RENT,Fully Paid
283.28,C,RENT,Charged Off
655.44,C,MORTGAGE,Fully Paid
1002.46,B,RENT,Fully Paid
521.18,B,MORTGAGE,Fully Paid
500.17,C,RENT,Fully Paid
276.2,C,RENT,Fully Paid
135.18,B,RENT,Fully Paid
331.48,B,MORTGAGE,Fully Paid
852.93,D,RENT,Fully Paid
710.08,B,RENT,Charged Off
343.09,C,OWN,Fully Paid
638.25,D,MORTGAGE,Fully Paid
140.55,C,RENT,Fully Paid
496.14,B,RENT,Fully Paid
460.1,C,RENT,Fully Paid
377.49,D,MORTGAGE,Fully Paid
126.5,C,RENT,Fully Paid
155.75,E,OWN,Fully Paid
521.97,C,RENT,Charged Off
306.36,D,RENT,Fully Paid
385,A,RENT,Fully Paid
134.18,B,RENT,Charged Off
423.46,B,MORTGAGE,Fully Paid
153.52,A,MORTGAGE,Fully Paid
175.69,C,OWN,Fully Paid
859.98,B,RENT,Fully Paid
386.15,E,MORTGAGE,Fully Paid
105.78,E,RENT,Charged Off
250.33,A,RENT,Fully Paid
53.2,A,MORTGAGE,Charged Off
515.6,B,RENT,Fully Paid
424.06,B,MORTGAGE,Fully Paid
413.94,C,RENT,Charged Off
231.54,B,MORTGAGE,Fully Paid
213.29,E,RENT,Charged Off
370.38,G,RENT,Fully Paid
458.91,D,RENT,Charged Off
544.23,F,OWN,Fully Paid
610.75,C,MORTGAGE,Fully Paid
353.01,D,RENT,Fully Paid
532.49,C,RENT,Fully Paid
603.98,D,RENT,Charged Off
374.26,B,RENT,Charged Off
228.02,B,RENT,Fully Paid
243.49,A,RENT,Fully Paid
556.41,D,RENT,Fully Paid
429.45,D,RENT,Fully Paid
758.88,C,RENT,Fully Paid
201.96,B,MORTGAGE,Fully Paid
512.38,B,MORTGAGE,Fully Paid
158.77,A,MORTGAGE,Fully Paid
491.26,A,MORTGAGE,Fully Paid
165.38,B,RENT,Fully Paid
109.62,C,RENT,Fully Paid
411.71,C,RENT,Charged Off
876.13,A,MORTGAGE,Charged Off
167.08,B,RENT,Fully Paid
96.68,B,MORTGAGE,Fully Paid
93.88,A,MORTGAGE,Charged Off
257.92,A,RENT,Fully Paid
228.02,B,MORTGAGE,Fully Paid
303.6,E,RENT,Fully Paid
64.45,B,MORTGAGE,Fully Paid
226.63,C,RENT,Fully Paid
308.21,D,MORTGAGE,Charged Off
418.27,B,MORTGAGE,Charged Off
312.91,A,RENT,Fully Paid
921.72,E,MORTGAGE,Fully Paid
264.61,B,RENT,Fully Paid
408.48,D,MORTGAGE,Charged Off
826.9,B,MORTGAGE,Fully Paid
64.45,B,RENT,Fully Paid
579.51,C,RENT,Fully Paid
254.03,A,MORTGAGE,Fully Paid
271.14,B,MORTGAGE,Fully Paid
344.2,A,MORTGAGE,Charged Off
176.51,D,MORTGAGE,Charged Off
635.41,D,OWN,Fully Paid
335.45,B,OWN,Charged Off
161.13,B,RENT,Fully Paid
353.01,D,RENT,Fully Paid
805.63,B,RENT,Fully Paid
80.51,B,MORTGAGE,Fully Paid
105.91,D,MORTGAGE,Charged Off
273.65,D,RENT,Charged Off
81.44,C,OWN,Fully Paid
309.54,E,MORTGAGE,Fully Paid
162.87,B,OWN,Fully Paid
503.19,D,MORTGAGE,Fully Paid
661.3,F,RENT,Charged Off
78.18,B,MORTGAGE,Fully Paid
60.15,B,RENT,Fully Paid
818.49,E,RENT,Charged Off
560.09,E,RENT,Fully Paid
406.78,A,RENT,Charged Off
268.36,B,RENT,Fully Paid
120.77,B,MORTGAGE,Charged Off
349.79,G,RENT,Charged Off
302.92,B,RENT,Fully Paid
329.37,C,MORTGAGE,Fully Paid
553.75,B,RENT,Fully Paid
448.41,E,MORTGAGE,Fully Paid
419.16,D,MORTGAGE,Fully Paid
500.33,E,MORTGAGE,Fully Paid
370.54,C,MORTGAGE,Fully Paid
187.75,A,RENT,Fully Paid
1111.37,A,MORTGAGE,Fully Paid
325.74,B,RENT,Fully Paid
396.66,E,RENT,Fully Paid
167.73,B,RENT,Fully Paid
75,D,RENT,Fully Paid
244.91,C,RENT,Charged Off
426.47,D,MORTGAGE,Fully Paid
628.13,G,RENT,Charged Off
189.74,B,RENT,Fully Paid
746.38,B,RENT,Charged Off
445.13,D,RENT,Fully Paid
200.5,B,RENT,Fully Paid
253.04,B,RENT,Charged Off
536.13,D,RENT,Fully Paid
494.8,C,RENT,Charged Off
413.04,A,MORTGAGE,Fully Paid
373.33,A,RENT,Fully Paid
324.47,E,RENT,Fully Paid
456.54,A,RENT,Fully Paid
696.35,E,MORTGAGE,Fully Paid
562.46,D,MORTGAGE,Fully Paid
463.2,B,RENT,Charged Off
427.72,B,MORTGAGE,Fully Paid
898.21,B,MORTGAGE,Fully Paid
234.82,B,RENT,Fully Paid
187.95,D,RENT,Fully Paid
651.27,B,RENT,Charged Off
343.09,C,RENT,Fully Paid
441.98,A,RENT,Fully Paid
368.45,A,MORTGAGE,Fully Paid
293.99,A,RENT,Fully Paid
237.29,E,RENT,Fully Paid
421.65,C,MORTGAGE,Charged Off
335.45,B,RENT,Fully Paid
351.38,C,RENT,Fully Paid
585.22,C,MORTGAGE,Fully Paid
773.4,B,RENT,Fully Paid
474.76,B,RENT,Fully Paid
280,A,MORTGAGE,Fully Paid
339.31,C,RENT,Charged Off
256.09,D,RENT,Fully Paid
323.53,B,RENT,Fully Paid
441.1,C,RENT,Fully Paid
271.14,B,RENT,Fully Paid
479.9,E,RENT,Fully Paid
702.26,C,RENT,Fully Paid
773.01,D,MORTGAGE,Charged Off
187.95,D,OWN,Fully Paid
233.91,B,RENT,Fully Paid
222.28,A,RENT,Fully Paid
128.84,D,MORTGAGE,Fully Paid
117.41,B,MORTGAGE,Fully Paid
158.77,A,RENT,Fully Paid
330.76,B,MORTGAGE,Fully Paid
152.69,C,OWN,Fully Paid
396.92,B,RENT,Fully Paid
311.49,E,RENT,Fully Paid
357.55,B,RENT,Fully Paid
195.44,B,RENT,Fully Paid
625.81,A,RENT,Fully Paid
267.08,D,RENT,Fully Paid
416.62,E,RENT,Fully Paid
468.17,C,RENT,Fully Paid
122.15,C,RENT,Fully Paid
190.52,A,RENT,Fully Paid
355.96,C,RENT,Fully Paid
793.84,A,RENT,Fully Paid
353.01,D,RENT,Fully Paid
194.26,B,RENT,Fully Paid
170.44,A,OWN,Fully Paid
200.5,B,RENT,Fully Paid
250.33,A,RENT,Fully Paid
489.57,B,RENT,Fully Paid
330.76,B,MORTGAGE,Fully Paid
342.22,A,RENT,Fully Paid
161.13,B,MORTGAGE,Fully Paid
211.73,B,RENT,Fully Paid
533.23,E,RENT,Fully Paid
402.54,B,RENT,Fully Paid
218.17,E,RENT,Charged Off
657.1,A,MORTGAGE,Fully Paid
298.53,D,RENT,Fully Paid
234.82,B,RENT,Fully Paid
400.99,B,RENT,Charged Off
238.15,B,RENT,Charged Off
390.88,B,RENT,Fully Paid
299.63,C,RENT,Fully Paid
98.29,B,RENT,Fully Paid
310.45,C,RENT,Fully Paid
330.76,B,OWN,Charged Off
322.25,B,MORTGAGE,Fully Paid
343.09,C,MORTGAGE,Charged Off
300.06,D,RENT,Fully Paid
470.14,B,RENT,Fully Paid
165.64,C,RENT,Fully Paid
491.58,C,MORTGAGE,Fully Paid
870.08,B,OWN,Fully Paid
763.18,E,OWN,Fully Paid
137.24,C,RENT,Fully Paid
241.46,B,RENT,Fully Paid
571.56,A,MORTGAGE,Fully Paid
165.38,B,OWN,Fully Paid
152.16,C,MORTGAGE,Fully Paid
354.84,D,RENT,Fully Paid
572.36,E,MORTGAGE,Fully Paid
343.09,C,MORTGAGE,Fully Paid
93.88,A,RENT,Fully Paid
397.8,E,RENT,Fully Paid
983.85,C,MORTGAGE,Fully Paid
344.95,C,RENT,Fully Paid
375.49,A,RENT,Fully Paid
357.88,D,RENT,Fully Paid
349.29,A,RENT,Fully Paid
347.98,C,RENT,Fully Paid
153.52,A,MORTGAGE,Fully Paid
152.18,A,RENT,Fully Paid
158.77,A,RENT,Fully Paid
205.86,C,RENT,Charged Off
171.55,C,MORTGAGE,Fully Paid
720.64,D,RENT,Fully Paid
248.77,D,RENT,Charged Off
814.34,B,RENT,Fully Paid
100.64,B,RENT,Charged Off
300.62,D,RENT,Fully Paid
715.75,G,RENT,Fully Paid
161.13,B,MORTGAGE,Fully Paid
280.91,C,RENT,Fully Paid
400.99,B,RENT,Fully Paid
436.61,B,MORTGAGE,Charged Off
182.62,A,RENT,Fully Paid
307.04,A,MORTGAGE,Fully Paid
393.01,B,RENT,Fully Paid
211.73,B,RENT,Fully Paid
311.11,A,MORTGAGE,Fully Paid
386.7,B,RENT,Fully Paid
343.09,C,RENT,Fully Paid
424.58,C,RENT,Fully Paid
325.74,B,RENT,Fully Paid
161.36,E,RENT,Fully Paid
510.6,D,RENT,Charged Off
848.27,C,MORTGAGE,Fully Paid
472,B,MORTGAGE,Charged Off
581.88,E,MORTGAGE,Fully Paid
307.29,B,RENT,Fully Paid
451.9,B,RENT,Fully Paid
610.75,C,OWN,Charged Off
321.48,D,OWN,Fully Paid
1243.85,D,MORTGAGE,Fully Paid
1200.82,C,MORTGAGE,Fully Paid
265.18,B,RENT,Fully Paid
244.3,C,MORTGAGE,Fully Paid
386.93,C,MORTGAGE,Fully Paid
134.18,B,RENT,Fully Paid
217.78,A,RENT,Fully Paid
508.96,C,MORTGAGE,Fully Paid
282.86,B,RENT,Fully Paid
576.27,F,MORTGAGE,Charged Off
370.94,D,RENT,Fully Paid
225.29,A,RENT,Fully Paid
465.24,D,RENT,Fully Paid
876.13,A,RENT,Fully Paid
